State,City,Place,Distance,Place_desc,Distance_km
jammu & kashmir,vaishno devi,dera baba banda, 15 km  from city center ,dere baba banda is a 300-year old gurudwara and a major pilgrimage points for sikhs. it is renowned for housing the ashes of baba banda bahadur who was the commanding soldier of guru gobind singh's army. the gurudwara also houses his arrow and a huge sword used by him during wars.,15.0
jammu & kashmir,vaishno devi,vaishno devi ropeway, 0 km  from city center ,vaishno devi ropeway connects vaishno devi mandir to bhairon nath mandir. the panoramic aerial view of bhairo valley from the ropeway is stunning. the ropeway ticket is priced at inr 100 per person. the timinig is 8am - 5pm.,0.0
jammu & kashmir,vaishno devi,city shopping, 0 km  from city center ,"shopping is mainly done by pilgrims, which includes prasad, saris and shawls which are offered to the goddess. gold and silver coins embossed with the images of the goddess are also sold here. the katra main bazaar is the main shopping area.",0.0
maharashtra,ajanta and ellora caves,ajanta caves,Unknown,,
maharashtra,ajanta and ellora caves,"grishneshwar temple, ellora",Unknown,,
maharashtra,ajanta and ellora caves,"the buddhist caves, ellora",Unknown,,
maharashtra,ajanta and ellora caves,"bibi ka makbara, aurangabad",Unknown,,
maharashtra,ajanta and ellora caves,"jain caves, ellora",Unknown,,
maharashtra,ajanta and ellora caves,khuldabad,Unknown,,
maharashtra,ajanta and ellora caves,"daualatabad fort, daulatabad",Unknown,,
maharashtra,ajanta and ellora caves,"aurangabad caves, aurangabad",Unknown,,
maharashtra,ajanta and ellora caves,shopping in aurangabad,Unknown,,
maharashtra,ajanta and ellora caves,"panchakki, aurangabad",Unknown,,
maharashtra,ajanta and ellora caves,the shopping plaza,Unknown,,
maharashtra,ajanta and ellora caves,shopping in ajanta and ellora,Unknown,,
uttarakhand,haridwar,ganga aarti, 1 km  from city center ,"the ganga aarti in hardwar is performed at the har-ki-pauri ghat.  it is a ritual of light and sound where the priests perform prayers with bowls of fire and the ringing of the temple bells. the aarti is organised twice a day, every morning at sunrise and every evening at sunset.",1.0
uttarakhand,haridwar,har ki pauri, 1 km  from city center ,"regarded as one of the most sacred ghats in haridwar and india, har ki pauri is a revered landmark and is visited by devotees and visitors in large numbers seeking the blessings of the holy ganga by offering their prayers.  a dip in the river ganges here is believed to wash away one's sins.",1.0
uttarakhand,haridwar,chandi devi temple, 2 km  from city center ,"devoted to lord durga's form chandi, this ancient hill-top temple is famous for its wish fulfilling belief. you can reach the temple using udan khatola aka the ropeway or trek 45 minutes up the steep stairway.",2.0
uttarakhand,haridwar,mansa devi temple, 1 km  from city center ,"the mansa devi temple is a famous temple in haridwar in uttarakhand that is dedicated to the goddess mansa devi, who is considered to be a form of shakti and is believed to have emerged from lord shiva's mind. it is one of the 'panch tirths' or the five pilgrimages in haridwar. the ropeways that lead up to it is also a popular attraction.",1.0
uttarakhand,haridwar,chilla wildlife sanctuary, 26 km  from city center ,"famous for its wildlife, especially for tigers and elephants, rajaji national park is a tiger reserve. it is spread over 3 districts of uttarakhand including dehradun, haridwar and pauri garhwal. apart from the jeep safari and elephant safari, the 34 km jungle track is a major attraction here.",26.0
uttarakhand,haridwar,shanti kunj, 6 km  from city center ,"shantikunj is a world-renowned ashram and the headquarter of all world gayatri pariwar (awgp) located in haridwar. the shantikunj ashram has yagya shala, gayatri mata temple, akhand deep, devatma himalaya temple, temples of ancient rishis and an exhibition of divine culture.",6.0
uttarakhand,haridwar,bharat mata mandir, 5 km  from city center ,"the bharat mata mandir in haridwar is dedicated to india as a country. the temple has a massive map of mother india on the ground, denoting the statue of the mother of india depicted as a four-armed hindu goddess wearing saffron-coloured robes, holding a book, sheaves of rice, a mala, and a white cloth.",5.0
uttarakhand,haridwar,daksha mahadev temple, 3 km  from city center ,"a famous temple in kankhal, haridwar daksha mahadev temple is dedicated to lord shiva. the temple is named after king daksha prajapati, the father of goddess sati. also known as daksheswara mahadev temple, it houses the yajna kund and the daksha ghat on the left of the main temple where devotees take a dip in the holy ganga river.",3.0
uttarakhand,haridwar,patanjali yog peeth, 16 km  from city center ,"patanjali yogpeeth is a medical and research institute in yoga and ayurveda, located in haridwar, uttarakhand. it is also renowned as one of the largest yoga institutes in india as well as in the world. if one is interested in ayurveda and yoga, it is one of the finest places to visit in haridwar. it comprises of two campuses: patanjali yogpeeth i and patanjali yogpeeth ii.",16.0
uttarakhand,haridwar,sapt rishi ashram, 6 km  from city center ,"famous for having hosted 7 great sages- kashyapa, vashishta, atri, vishwamitra, jamadagi, bharadwaja and gautam, this ashram is well known for its tranquil atmosphere ideal for meditation. it is also believed that ganga split herself into seven currents at this spot.",6.0
uttarakhand,haridwar,ma anandamayi ashram, 3 km  from city center ,"located in kankhal in haridwar, ma anandamayi ashram is a spiritual centre and ashram dedicated to sri ma anandamayi who was a prominent bengali mystic and a spiritual personality. the ashram has a mausoleum or a samadhi which houses the grave of ma anandamayi. the complex houses several buildings meant for meditation, yoga and similar activities.",3.0
